fecha;gvz;sma200;reg
2009.03.18;25.69;38.45;0
2009.03.19;41.52;38.54;1
2009.03.20;38.90;38.62;1
2009.03.23;29.76;38.66;0
2009.03.24;36.28;38.72;0
2009.03.25;36.28;38.78;0
2009.03.26;35.19;38.83;0
2009.03.27;33.25;38.87;0
2009.03.30;33.62;38.91;0
2009.03.31;31.39;38.94;0
2009.04.01;32.33;38.98;0
2009.04.02;34.39;39.03;0
2009.04.03;36.42;39.09;0
2009.04.06;32.95;39.13;0
2009.04.07;32.07;39.16;0
2009.04.08;30.42;39.18;0
2009.04.09;28.00;39.19;0
2009.04.13;29.09;39.20;0
2009.04.14;28.88;39.20;0
2009.04.15;27.47;39.21;0
2009.04.16;27.42;39.21;0
2009.04.17;27.41;39.21;0
2009.04.20;28.45;39.22;0
2009.04.21;29.00;39.23;0
2009.04.22;28.67;39.24;0
2009.04.23;29.92;39.26;0
2009.04.24;30.08;39.28;0
2009.04.27;30.24;39.29;0
2009.04.28;28.53;39.27;0
2009.04.29;27.98;39.25;0
2009.04.30;26.70;39.23;0
2009.05.01;26.44;39.23;0
2009.05.04;28.26;39.23;0
2009.05.05;27.49;39.23;0
2009.05.06;26.77;39.23;0
2009.05.07;26.75;39.24;0
2009.05.08;25.93;39.24;0
2009.05.11;23.60;39.23;0
2009.05.12;23.80;39.22;0
2009.05.13;25.41;39.21;0
2009.05.14;23.08;39.20;0
2009.05.15;22.60;39.19;0
2009.05.18;22.46;39.18;0
2009.05.19;22.41;39.17;0
2009.05.20;24.74;39.17;0
2009.05.21;27.94;39.18;0
2009.05.22;28.34;39.19;0
2009.05.26;26.33;39.20;0
2009.05.27;25.82;39.19;0
2009.05.28;26.70;39.17;0
2009.05.29;28.44;39.15;0
2009.06.01;29.50;39.15;0
2009.06.02;28.69;39.15;0
2009.06.03;27.64;39.13;0
2009.06.04;28.16;39.11;0
2009.06.05;26.82;39.09;0
2009.06.08;27.09;39.07;0
2009.06.09;25.03;39.05;0
2009.06.10;24.78;39.03;0
2009.06.11;24.44;39.01;0
2009.06.12;24.79;38.99;0
2009.06.15;25.31;38.98;0
2009.06.16;23.12;38.96;0
2009.06.17;22.80;38.94;0
2009.06.18;22.43;38.90;0
2009.06.19;21.64;38.86;0
2009.06.22;22.10;38.82;0
2009.06.23;21.93;38.78;0
2009.06.24;22.74;38.74;0
2009.06.25;22.72;38.69;0
2009.06.26;21.97;38.63;0
2009.06.29;21.72;38.56;0
2009.06.30;20.90;38.49;0
2009.07.01;20.29;38.40;0
2009.07.02;19.93;38.30;0
2009.07.06;20.60;38.15;0
2009.07.07;20.71;37.98;0
2009.07.08;23.58;37.86;0
2009.07.09;21.02;37.70;0
2009.07.10;20.79;37.56;0
2009.07.13;19.27;37.44;0
2009.07.14;18.80;37.32;0
2009.07.15;19.36;37.19;0
2009.07.16;18.26;37.03;0
2009.07.17;18.10;36.87;0
2009.07.20;18.55;36.73;0
2009.07.21;18.05;36.56;0
2009.07.22;17.46;36.39;0
2009.07.23;18.44;36.21;0
2009.07.24;18.04;36.04;0
2009.07.27;18.72;35.88;0
2009.07.28;19.26;35.72;0
2009.07.29;19.39;35.49;0
2009.07.30;18.85;35.28;0
2009.07.31;20.51;35.11;0
2009.08.03;21.11;34.93;0
2009.08.04;23.58;34.78;0
2009.08.05;22.12;34.61;0
2009.08.06;21.13;34.47;0
2009.08.07;20.95;34.33;0
2009.08.10;20.33;34.15;0
2009.08.11;19.61;33.97;0
2009.08.12;19.83;33.78;0
2009.08.13;19.97;33.59;0
2009.08.14;19.56;33.38;0
2009.08.17;19.83;33.18;0
2009.08.18;18.93;32.99;0
2009.08.19;19.38;32.81;0
2009.08.20;18.12;32.63;0
2009.08.21;19.11;32.48;0
2009.08.24;19.65;32.34;0
2009.08.25;19.56;32.20;0
2009.08.26;19.60;32.08;0
2009.08.27;19.52;31.95;0
2009.08.28;19.32;31.82;0
2009.08.31;20.43;31.70;0
2009.09.01;21.40;31.56;0
2009.09.02;25.58;31.44;0
2009.09.03;28.86;31.34;0
2009.09.04;27.23;31.25;0
2009.09.08;26.97;31.16;0
2009.09.09;24.71;31.05;0
2009.09.10;24.22;30.91;0
2009.09.11;25.67;30.76;0
2009.09.14;24.78;30.63;0
2009.09.15;24.43;30.50;0
2009.09.16;25.09;30.38;0
2009.09.17;23.53;30.25;0
2009.09.18;22.62;30.12;0
2009.09.21;23.22;30.00;0
2009.09.22;24.53;29.89;0
2009.09.23;23.98;29.78;0
2009.09.24;22.00;29.66;0
2009.09.25;21.79;29.55;0
2009.09.28;20.40;29.42;0
2009.09.29;20.45;29.29;0
2009.09.30;21.54;29.17;0
2009.10.01;21.46;29.04;0
2009.10.02;21.38;28.91;0
2009.10.05;22.78;28.79;0
2009.10.06;25.36;28.69;0
2009.10.07;24.01;28.60;0
2009.10.08;24.88;28.52;0
2009.10.09;23.19;28.43;0
2009.10.12;22.47;28.35;0
2009.10.13;22.34;28.25;0
2009.10.14;20.57;28.13;0
2009.10.15;20.35;28.02;0
2009.10.16;20.76;27.90;0
2009.10.19;20.90;27.80;0
