fecha;vix;sma200;reg
2001.07.20;22.34;24.38;1
2001.07.21;22.34;24.34;1
2001.07.22;22.34;24.32;1
2001.07.23;23.74;24.30;1
2001.07.24;25.24;24.28;0
2001.07.25;24.00;24.26;1
2001.07.26;23.01;24.23;1
2001.07.27;22.00;24.19;1
2001.07.28;22.00;24.16;1
2001.07.29;22.00;24.14;1
2001.07.30;22.69;24.12;1
2001.07.31;21.62;24.11;1
2001.08.01;20.56;24.09;1
2001.08.02;20.09;24.06;1
2001.08.03;19.89;24.04;1
2001.08.04;19.89;24.01;1
2001.08.05;19.89;23.99;1
2001.08.06;21.89;23.98;1
2001.08.07;21.01;23.97;1
2001.08.08;22.32;23.97;1
2001.08.09;21.75;23.96;1
2001.08.10;20.55;23.95;1
2001.08.11;20.55;23.94;1
2001.08.12;20.55;23.93;1
2001.08.13;20.42;23.92;1
2001.08.14;20.48;23.91;1
2001.08.15;20.91;23.90;1
2001.08.16;21.54;23.90;1
2001.08.17;23.84;23.90;1
2001.08.18;23.84;23.91;1
2001.08.19;23.84;23.92;1
2001.08.20;22.87;23.93;1
2001.08.21;24.40;23.94;0
2001.08.22;22.44;23.94;1
2001.08.23;22.23;23.94;1
2001.08.24;19.71;23.93;1
2001.08.25;19.71;23.92;1
2001.08.26;19.71;23.91;1
2001.08.27;20.56;23.90;1
2001.08.28;22.00;23.90;1
2001.08.29;23.03;23.91;1
2001.08.30;25.41;23.93;0
2001.08.31;24.92;23.94;0
2001.09.01;24.92;23.96;0
2001.09.02;24.92;23.98;0
2001.09.03;24.92;24.00;0
2001.09.04;25.85;24.02;0
2001.09.05;26.35;24.04;0
2001.09.06;28.61;24.07;0
2001.09.07;30.99;24.11;0
2001.09.08;30.99;24.15;0
2001.09.09;30.99;24.17;0
2001.09.10;31.84;24.20;0
2001.09.11;31.84;24.22;0
2001.09.12;31.84;24.24;0
2001.09.13;31.84;24.27;0
2001.09.14;31.84;24.30;0
2001.09.15;31.84;24.33;0
2001.09.16;31.84;24.34;0
2001.09.17;41.76;24.41;0
2001.09.18;38.87;24.47;0
2001.09.19;40.56;24.53;0
2001.09.20;43.74;24.62;0
2001.09.21;42.66;24.69;0
2001.09.22;42.66;24.78;0
2001.09.23;42.66;24.87;0
2001.09.24;37.75;24.94;0
2001.09.25;35.81;24.99;0
2001.09.26;35.26;25.04;0
2001.09.27;34.00;25.08;0
2001.09.28;31.93;25.09;0
2001.09.29;31.93;25.11;0
2001.09.30;31.93;25.12;0
2001.10.01;32.32;25.14;0
2001.10.02;31.18;25.15;0
2001.10.03;31.34;25.15;0
2001.10.04;31.97;25.16;0
2001.10.05;33.39;25.18;0
2001.10.06;33.39;25.19;0
2001.10.07;33.39;25.20;0
2001.10.08;35.12;25.21;0
2001.10.09;34.83;25.23;0
2001.10.10;31.60;25.24;0
