fecha;vxn;sma200;reg
2001.08.10;48.52;62.31;1
2001.08.11;48.52;62.26;1
2001.08.12;48.52;62.20;1
2001.08.13;47.49;62.12;1
2001.08.14;48.44;62.05;1
2001.08.15;48.37;61.98;1
2001.08.16;50.98;61.92;1
2001.08.17;52.02;61.87;1
2001.08.18;52.02;61.82;1
2001.08.19;52.02;61.77;1
2001.08.20;51.64;61.72;1
2001.08.21;52.54;61.67;1
2001.08.22;51.09;61.60;1
2001.08.23;49.26;61.53;1
2001.08.24;47.70;61.46;1
2001.08.25;47.70;61.39;1
2001.08.26;47.70;61.32;1
2001.08.27;47.22;61.24;1
2001.08.28;48.74;61.16;1
2001.08.29;49.28;61.08;1
2001.08.30;52.28;61.01;1
2001.08.31;52.86;60.96;1
2001.09.01;52.86;60.89;1
2001.09.02;52.86;60.82;1
2001.09.03;52.86;60.77;1
2001.09.04;57.15;60.74;1
2001.09.05;58.73;60.71;1
2001.09.06;62.01;60.69;0
2001.09.07;65.45;60.70;0
2001.09.08;65.45;60.69;0
2001.09.09;65.45;60.67;0
2001.09.10;63.84;60.63;0
2001.09.11;63.84;60.59;0
2001.09.12;63.84;60.55;0
2001.09.13;63.84;60.51;0
2001.09.14;63.84;60.48;0
2001.09.15;63.84;60.43;0
2001.09.16;63.84;60.37;0
2001.09.17;73.26;60.36;0
2001.09.18;74.74;60.35;0
2001.09.19;76.93;60.34;0
2001.09.20;82.49;60.37;0
2001.09.21;77.73;60.39;0
2001.09.22;77.73;60.44;0
2001.09.23;77.73;60.49;0
2001.09.24;69.41;60.50;0
2001.09.25;67.57;60.48;0
2001.09.26;65.94;60.46;0
2001.09.27;65.91;60.44;0
2001.09.28;65.19;60.38;0
2001.09.29;65.19;60.34;0
2001.09.30;65.19;60.30;0
2001.10.01;64.94;60.25;0
2001.10.02;63.84;60.18;0
2001.10.03;62.17;60.11;0
2001.10.04;61.94;60.04;0
2001.10.05;63.35;59.99;0
2001.10.06;63.35;59.94;0
2001.10.07;63.35;59.90;0
2001.10.08;66.13;59.87;0
2001.10.09;66.26;59.85;0
2001.10.10;66.19;59.82;0
2001.10.11;61.64;59.78;0
2001.10.12;65.98;59.76;0
2001.10.13;65.98;59.76;0
2001.10.14;65.98;59.75;0
2001.10.15;66.24;59.71;0
2001.10.16;64.01;59.67;0
2001.10.17;67.11;59.65;0
2001.10.18;70.69;59.64;0
2001.10.19;69.28;59.63;0
2001.10.20;69.28;59.60;0
2001.10.21;69.28;59.56;0
2001.10.22;67.36;59.52;0
2001.10.23;63.73;59.44;0
2001.10.24;61.91;59.35;0
2001.10.25;56.93;59.24;1
2001.10.26;56.91;59.14;1
2001.10.27;56.91;59.06;1
2001.10.28;56.91;58.97;1
2001.10.29;60.29;58.94;0
2001.10.30;63.41;58.92;0
2001.10.31;62.35;58.90;0
2001.11.01;61.18;58.88;0
2001.11.02;61.19;58.81;0
2001.11.03;61.19;58.75;0
2001.11.04;61.19;58.71;0
2001.11.05;58.96;58.65;0
2001.11.06;57.31;58.56;1
2001.11.07;57.18;58.47;1
2001.11.08;58.75;58.40;0
2001.11.09;58.59;58.30;0
2001.11.10;58.59;58.19;0
2001.11.11;58.59;58.08;0
2001.11.12;58.99;57.99;0
2001.11.13;55.94;57.91;1
2001.11.14;56.38;57.84;1
2001.11.15;57.45;57.77;1
2001.11.16;55.01;57.70;1
2001.11.17;55.01;57.65;1
2001.11.18;55.01;57.60;1
2001.11.19;50.83;57.51;1
2001.11.20;51.41;57.44;1
2001.11.21;52.68;57.37;1
2001.11.22;52.68;57.30;1
2001.11.23;50.81;57.24;1
2001.11.24;50.81;57.18;1
2001.11.25;50.81;57.10;1
2001.11.26;48.22;57.01;1
2001.11.27;49.27;56.93;1
2001.11.28;52.21;56.86;1
2001.11.29;48.91;56.78;1
2001.11.30;48.45;56.69;1
2001.12.01;48.45;56.62;1
2001.12.02;48.45;56.56;1
2001.12.03;49.74;56.51;1
2001.12.04;48.04;56.49;1
2001.12.05;47.44;56.46;1
2001.12.06;48.39;56.44;1
2001.12.07;50.18;56.42;1
2001.12.08;50.18;56.41;1
2001.12.09;50.18;56.39;1
2001.12.10;52.12;56.38;1
2001.12.11;50.73;56.38;1
2001.12.12;48.09;56.35;1
2001.12.13;52.15;56.35;1
2001.12.14;52.79;56.35;1
2001.12.15;52.79;56.34;1
2001.12.16;52.79;56.30;1
2001.12.17;51.07;56.26;1
2001.12.18;49.05;56.22;1
2001.12.19;49.68;56.18;1
2001.12.20;52.91;56.16;1
2001.12.21;50.96;56.13;1
2001.12.22;50.96;56.12;1
2001.12.23;50.96;56.10;1
2001.12.24;49.44;56.08;1
2001.12.25;49.44;56.07;1
2001.12.26;49.06;56.05;1
2001.12.27;47.46;56.02;1
2001.12.28;45.94;55.98;1
2001.12.29;45.94;55.94;1
2001.12.30;45.94;55.88;1
2001.12.31;47.26;55.82;1
2002.01.01;47.26;55.75;1
2002.01.02;48.05;55.69;1
2002.01.03;47.07;55.62;1
2002.01.04;46.86;55.57;1
2002.01.05;46.86;55.53;1
2002.01.06;46.86;55.49;1
2002.01.07;47.89;55.47;1
2002.01.08;47.41;55.45;1
2002.01.09;48.35;55.43;1
2002.01.10;48.66;55.42;1
2002.01.11;48.37;55.39;1
2002.01.12;48.37;55.37;1
2002.01.13;48.37;55.35;1
2002.01.14;49.51;55.35;1
2002.01.15;48.02;55.37;1
2002.01.16;49.43;55.39;1
2002.01.17;46.97;55.39;1
2002.01.18;48.89;55.42;1
2002.01.19;48.89;55.44;1
2002.01.20;48.89;55.45;1
2002.01.21;48.89;55.45;1
2002.01.22;50.37;55.44;1
2002.01.23;48.15;55.42;1
2002.01.24;47.37;55.40;1
2002.01.25;45.67;55.37;1
2002.01.26;45.67;55.32;1
2002.01.27;45.67;55.26;1
2002.01.28;42.96;55.21;1
2002.01.29;45.90;55.17;1
2002.01.30;44.67;55.13;1
2002.01.31;42.46;55.07;1
2002.02.01;43.08;55.02;1
2002.02.02;43.08;54.96;1
2002.02.03;43.08;54.89;1
2002.02.04;45.84;54.85;1
2002.02.05;46.74;54.81;1
2002.02.06;49.06;54.79;1
2002.02.07;51.11;54.78;1
2002.02.08;49.28;54.75;1
2002.02.09;49.28;54.71;1
2002.02.10;49.28;54.68;1
2002.02.11;46.41;54.65;1
2002.02.12;45.45;54.62;1
2002.02.13;44.47;54.58;1
