fecha,simbolo,spot,gex_neto,gex_calls,gex_puts,gamma_flip,regimen,dist_flip_pct,n_contratos,oi_total,call_wall,call_wall_gex,put_wall,put_wall_gex,proximo_opex,dias_a_opex,opex_trimestral,pre_opex,ventana_debilidad
2026-08-14,QQQ,731.0700073242188,4072904013.905703,9328017804.548178,-5255113790.642475,719.318382952079,positivo,1.6074554084295904,3116,4811273,735.0,991636132.3020458,700.0,-546541393.889746,2026-08-21,6,False,False,False
2026-08-14,SPY,776.3400268554688,5154205258.616982,17335363123.6028,-12181157864.985815,771.557963276748,positivo,0.6159753990903102,3309,9418969,780.0,2746369968.369952,775.0,-934665192.396151,2026-08-21,6,False,False,False
2026-08-17,QQQ,729.8699951171875,2211278572.0965414,10642093497.454514,-8430814925.357971,725.6655510863296,positivo,0.576053825884815,4497,5659688,735.0,1139192379.3790016,720.0,-619875797.7354441,2026-08-21,4,False,True,False
2026-08-17,SPY,772.6699829101562,-4624736228.023162,18359255544.41936,-22983991772.44252,774.050279916776,indefinido,-0.1786399157659907,4745,11476134,775.0,2197313893.476131,765.0,-1926936658.8354137,2026-08-21,4,False,True,False
2026-08-19,QQQ,716.0800170898438,-2274516145.818926,8364531161.916348,-10639047307.735275,720.8008661693818,negativo,-0.6592627872404065,3897,5746631,720.0,801062439.717101,700.0,-883372129.3642337,2026-08-21,1,False,True,False
2026-08-19,SPY,769.0599975585938,-4318234540.076031,16970725851.197563,-21288960391.27359,770.9395280290972,indefinido,-0.244393217235341,4163,11439021,770.0,2802764828.4056234,765.0,-3398738357.597001,2026-08-21,1,False,True,False
2026-08-26,QQQ,711.3699951171875,179892258.67777967,9457890686.885,-9277998428.20722,711.1770691718576,indefinido,0.0271203377502721,3560,4947138,715.0,839395865.1141164,700.0,-1145812242.0103126,2026-09-18,23,True,False,True
2026-08-26,SPY,766.0800170898438,-7564584334.263606,14455979169.9173,-22020563504.1809,768.1010072362712,negativo,-0.2638092759689459,3896,8608284,770.0,1185738048.3209066,765.0,-5504797294.999609,2026-09-18,23,True,False,True
2026-09-04,QQQ,718.9600219726562,-1468942557.3759398,8307092167.741813,-9776034725.117752,719.1178299033212,indefinido,-0.021949472271345,3155,5635829,720.0,1092657164.0700212,700.0,-1045184590.7803988,2026-09-18,14,True,False,False
2026-09-04,SPY,770.1900024414062,-12036178787.24824,13902493856.558369,-25938672643.80661,770.9825652523722,indefinido,-0.1029048427600472,3245,9792192,775.0,1019428723.707485,770.0,-9176801753.568918,2026-09-18,14,True,False,False
